POSIX,source,app,x_x0,y_y0,t_t0
1504512241,124,2,0.0137989998410201,0.115218413640734,0
1504516359,153,2,0.143215366037214,-0.0340542589677598,1
1504527141,11,2,-0.00409347641275699,0.0428548865965742,1
1504527277,35,2,0.0143306266498279,-0.0564752795432034,0
1504527882,107,2,-0.0506575015797147,0.0734735636439501,1
1504535360,18,2,0.22267377913802,-0.134487668477462,1
1504538418,89,2,-0.163459413518359,-0.221654821703284,0
1504539449,17,2,0.020207866370471,-0.0902865818863268,0
1504546813,111,2,0.0368179276577186,-0.217341592708529,0
1504552480,127,2,-0.127532966230868,-0.0492395997836862,1
1504553009,87,2,-0.123357958102669,0.0289210763907889,0
1504553514,98,2,-0.0911095016258546,-0.0903976289295834,0
1504599728,106,2,0.0383370223022731,0.117710841540342,0
1504599919,45,2,-0.0501948098304225,0.12386050551087,1
1504604398,52,2,-0.066909025842007,0.0609081595990891,0
1504604608,48,2,-0.139559431219237,-0.0296703710893585,1
1504608181,48,2,-0.170942935854423,0.0124063436115423,1
1504610923,97,2,-0.109968871373473,0.0237665232802244,0
1504611874,38,2,-0.0315613584537695,-0.0125591815891805,0
1504613410,149,2,-0.0815505450619126,-0.15772517752595,2
1504613962,130,2,0.0683275313369534,0.224373305783538,0
1504619463,130,2,-0.0599556734622934,0.132875998945788,2
1504621252,130,2,-0.115492100663373,0.000835068933292499,0
1504622585,98,2,0.0326205003193292,0.150558212965835,0
1504623185,52,2,0.0140710386464892,-0.0560010702610484,0
1504644082,127,2,-0.0157826455732234,-0.101218381094052,1
1504686325,96,2,0.0333314805224486,-0.00208139198160186,1
1504689513,104,2,2.649041976363e-05,0.0264891949481205,0
1504693604,98,2,-0.108867336699428,-0.0354948560420467,1
1504693718,67,2,0.0555079143418727,-0.0968960203620592,1
1504698255,128,2,-0.0381806866468314,0.0178379948984982,3
1504701476,16,2,-0.0258273337377715,-0.00015457340979149,0
1504702695,44,2,0.0728567523675574,0.0952950822242102,0
1504703214,102,2,-0.119744602172364,0.251549024408372,0
1504704279,31,2,0.0500605243528118,0.0392054906486244,1
1504713284,72,2,0.0989899348029192,0.00651156472149934,1
1504719072,130,2,-0.00603179338364837,-0.0581446469685266,0
1504722456,67,2,-0.0400430851906456,-0.0653184137785121,0
1504723113,44,2,0.104649972106011,0.104584017191768,0
1504772008,19,2,-0.120368852171865,0.068544280259214,0
1504773044,78,2,-0.00247329913747452,0.156967988641222,0
1504773839,34,2,0.0553290342491872,-0.199646488528804,1
1504774051,57,2,-0.085650710908571,0.0904148780297118,0
1504776250,66,2,-0.102846702771935,0.00718465708094554,0
1504777083,39,2,-0.0334647450395288,0.0898278368866003,0
1504779099,65,2,0.0880266279278692,0.00839470762033022,0
1504779410,151,2,0.0963389468935422,-0.0294958078062717,0
1504796222,126,2,0.102251598827259,-0.00557514074308319,0
1504800251,58,2,0.0228436991034603,-0.0975228309548566,1
1504808920,7,2,-0.104314414994889,-0.0509494332366879,1
1504810475,63,2,-0.0237547296455635,-0.149932340391259,0
1504814600,71,2,0.0782457954681802,0.0579690413878982,0
1504816881,62,2,-0.000171701661960553,0.147182701231332,3
1504858461,52,2,-0.214654597227403,-0.0399807311425607,0
1504871138,126,2,-0.0510290478100291,-0.264973379710424,0
1504874348,11,2,-0.20221446497,-0.0361070835630818,0
1504875236,117,2,-0.0404322065596573,0.165063710337509,0
1504875321,21,2,-0.20803645651865,-0.119461656285768,0
1504883176,98,2,-0.148103982831345,0.13790525197167,0
1504883297,64,2,0.0890241824459209,0.0519977927248925,0
1504893768,27,2,0.176934170673475,0.0159750627814306,0
1504893985,93,2,-0.0706552837000922,-0.0121448352345265,0
1504895283,116,2,0.0319201764441906,-0.0257920757776259,0
1504898508,56,2,0.08434094670306,-0.160007190252894,0
1504903068,101,2,-0.0573160945859586,-0.0321584733963932,1
1504903516,127,2,-0.0579708085110134,0.0468496625051898,1
1504956228,150,2,0.00395407463972767,-0.104547558974067,0
1504961437,32,2,-0.0855828246576317,-0.0829858506973157,2
1504961775,68,2,-0.00481569300987483,-0.21501976295941,0
1504971499,28,2,0.0774353727682207,-0.0271559052806451,0
1504980017,58,2,0.226818222953331,0.0087153421836251,0
1504988318,69,2,0.0635439905087675,0.0822203664299775,0
1505030989,19,2,0.0199767004347882,0.104079820404705,0
1505032827,120,2,0.139972411242625,-0.0793586967848427,0
1505046129,28,2,-0.0640943029788652,-0.113399508958227,0
1505050630,49,2,0.102851989333794,-0.0404930331750855,1
1505057788,116,2,-0.0077406150904885,0.0397680008148246,1
1505122034,101,2,0.0150482567154651,-0.0495091249542317,0
1505123444,67,2,0.162042852831304,0.0583994930645422,0
1505124394,82,2,0.12178006984286,0.126005758368085,0
1505125307,27,2,0.020428811823162,0.112612787702431,1
1505125455,144,2,0.0861308555015068,-0.202307572319282,1
1505127390,69,2,-0.133714562247702,-0.129087930832807,1
1505129974,58,2,0.0786656486530165,0.0190148606662144,0
1505150159,55,2,-0.13970286495381,0.204421433983418,0
1505150280,90,2,0.0501917451708517,0.0771504891203455,0
